index	seed	set	setId	difficulty	variant
84	bfm_bfm285_difficulty4-3	bfm	bfm285	4	3
85	bfm_bfm285_difficulty4-4	bfm	bfm285	4	4
86	bfm_bfm285_difficulty4-5	bfm	bfm285	4	5
87	bfm_bfm286_difficulty1-1	bfm	bfm286	1	1
88	bfm_bfm286_difficulty1-2	bfm	bfm286	1	2
89	bfm_bfm286_difficulty1-3	bfm	bfm286	1	3
90	bfm_bfm286_difficulty1-4	bfm	bfm286	1	4
91	bfm_bfm286_difficulty1-5	bfm	bfm286	1	5
92	bfm_bfm287_difficulty1-1	bfm	bfm287	1	1
93	bfm_bfm287_difficulty1-2	bfm	bfm287	1	2
94	bfm_bfm287_difficulty1-3	bfm	bfm287	1	3
95	bfm_bfm287_difficulty1-4	bfm	bfm287	1	4
96	bfm_bfm287_difficulty1-5	bfm	bfm287	1	5
97	bfm_bfm288_difficulty1-1	bfm	bfm288	1	1
98	bfm_bfm288_difficulty1-2	bfm	bfm288	1	2
99	bfm_bfm288_difficulty1-3	bfm	bfm288	1	3
100	bfm_bfm288_difficulty1-4	bfm	bfm288	1	4
101	bfm_bfm288_difficulty1-5	bfm	bfm288	1	5
102	bfm_bfm289_difficulty1-1	bfm	bfm289	1	1
103	bfm_bfm289_difficulty1-2	bfm	bfm289	1	2
104	bfm_bfm289_difficulty1-3	bfm	bfm289	1	3
105	bfm_bfm289_difficulty1-4	bfm	bfm289	1	4
106	bfm_bfm289_difficulty1-5	bfm	bfm289	1	5
107	bfm_bfm290_difficulty1-1	bfm	bfm290	1	1
108	bfm_bfm290_difficulty1-2	bfm	bfm290	1	2
109	bfm_bfm290_difficulty1-3	bfm	bfm290	1	3
110	bfm_bfm290_difficulty1-4	bfm	bfm290	1	4
111	bfm_bfm290_difficulty1-5	bfm	bfm290	1	5
112	bfm_bfm291_difficulty1-1	bfm	bfm291	1	1
113	bfm_bfm291_difficulty1-2	bfm	bfm291	1	2
114	bfm_bfm291_difficulty1-3	bfm	bfm291	1	3
115	bfm_bfm291_difficulty1-4	bfm	bfm291	1	4
116	bfm_bfm291_difficulty1-5	bfm	bfm291	1	5
117	bfm_bfm292_difficulty2-1	bfm	bfm292	2	1
118	bfm_bfm292_difficulty2-2	bfm	bfm292	2	2
119	bfm_bfm292_difficulty2-3	bfm	bfm292	2	3
120	bfm_bfm292_difficulty2-4	bfm	bfm292	2	4
121	bfm_bfm292_difficulty2-5	bfm	bfm292	2	5
122	bfm_bfm293_difficulty1-1	bfm	bfm293	1	1
123	bfm_bfm293_difficulty1-2	bfm	bfm293	1	2
124	bfm_bfm293_difficulty1-3	bfm	bfm293	1	3
125	bfm_bfm293_difficulty1-4	bfm	bfm293	1	4
126	bfm_bfm293_difficulty1-5	bfm	bfm293	1	5
127	bfm_bfm294_difficulty2-1	bfm	bfm294	2	1
128	bfm_bfm294_difficulty2-2	bfm	bfm294	2	2
129	bfm_bfm294_difficulty2-3	bfm	bfm294	2	3
130	bfm_bfm294_difficulty2-4	bfm	bfm294	2	4
131	bfm_bfm294_difficulty2-5	bfm	bfm294	2	5
132	bfm_bfm295_difficulty1-1	bfm	bfm295	1	1
133	bfm_bfm295_difficulty1-2	bfm	bfm295	1	2
134	bfm_bfm295_difficulty1-3	bfm	bfm295	1	3
135	bfm_bfm295_difficulty1-4	bfm	bfm295	1	4
136	bfm_bfm295_difficulty1-5	bfm	bfm295	1	5
137	bfm_bfm296_difficulty5-1	bfm	bfm296	5	1
138	bfm_bfm296_difficulty5-2	bfm	bfm296	5	2
139	bfm_bfm296_difficulty5-3	bfm	bfm296	5	3
140	bfm_bfm296_difficulty5-4	bfm	bfm296	5	4
141	bfm_bfm296_difficulty5-5	bfm	bfm296	5	5
142	bfm_bfm302_difficulty4-1	bfm	bfm302	4	1
143	bfm_bfm302_difficulty4-2	bfm	bfm302	4	2
144	bfm_bfm302_difficulty4-3	bfm	bfm302	4	3
145	bfm_bfm302_difficulty4-4	bfm	bfm302	4	4
146	bfm_bfm302_difficulty4-5	bfm	bfm302	4	5
147	bfm_bfm306_difficulty5-1	bfm	bfm306	5	1
148	bfm_bfm306_difficulty5-2	bfm	bfm306	5	2
149	bfm_bfm306_difficulty5-3	bfm	bfm306	5	3
150	bfm_bfm306_difficulty5-4	bfm	bfm306	5	4
151	bfm_bfm306_difficulty5-5	bfm	bfm306	5	5
152	bfm_bfm307_difficulty4-1	bfm	bfm307	4	1
153	bfm_bfm307_difficulty5-2	bfm	bfm307	5	2
154	bfm_bfm307_difficulty5-3	bfm	bfm307	5	3
155	bfm_bfm307_difficulty5-4	bfm	bfm307	5	4
156	bfm_bfm307_difficulty5-5	bfm	bfm307	5	5
157	bfm_bfm309_difficulty4-1	bfm	bfm309	4	1
158	bfm_bfm309_difficulty4-2	bfm	bfm309	4	2
159	bfm_bfm309_difficulty4-3	bfm	bfm309	4	3
160	bfm_bfm309_difficulty4-4	bfm	bfm309	4	4
161	bfm_bfm309_difficulty4-5	bfm	bfm309	4	5
162	bfmdlb_bfmdlb229_difficulty1-3	bfmdlb	bfmdlb229	1	3
163	bfmdlb_bfmdlb229_difficulty2-5	bfmdlb	bfmdlb229	2	5
164	bfmdlb_bfmdlb229_difficulty4-1	bfmdlb	bfmdlb229	4	1
165	bfmdlb_bfmdlb235_difficulty2-3	bfmdlb	bfmdlb235	2	3
166	bfmdlb_bfmdlb235_difficulty4-2	bfmdlb	bfmdlb235	4	2
167	bfmdlb_bfmdlb235_difficulty5-1	bfmdlb	bfmdlb235	5	1
168	bfmdlb_bfmdlb241_difficulty1-5	bfmdlb	bfmdlb241	1	5
169	bfmdlb_bfmdlb241_difficulty2-1	bfmdlb	bfmdlb241	2	1
170	bfmdlb_bfmdlb241_difficulty2-4	bfmdlb	bfmdlb241	2	4
171	bfmdlb_bfmdlb248_difficulty1-1	bfmdlb	bfmdlb248	1	1
172	bfmdlb_bfmdlb248_difficulty1-2	bfmdlb	bfmdlb248	1	2
173	bfmdlb_bfmdlb248_difficulty1-3	bfmdlb	bfmdlb248	1	3
174	bfmdlb_bfmdlb262_difficulty1-3	bfmdlb	bfmdlb262	1	3
175	bfmdlb_bfmdlb262_difficulty4-2	bfmdlb	bfmdlb262	4	2
176	bfmdlb_bfmdlb262_difficulty5-1	bfmdlb	bfmdlb262	5	1
177	bfmdlb_bfmdlb296_difficulty1-1	bfmdlb	bfmdlb296	1	1
178	bfmdlb_bfmdlb296_difficulty1-2	bfmdlb	bfmdlb296	1	2
179	bfmdlb_bfmdlb296_difficulty2-3	bfmdlb	bfmdlb296	2	3
180	daily_daily102_difficulty4-1	daily	daily102	4	1
181	daily_daily102_difficulty4-2	daily	daily102	4	2
182	daily_daily102_difficulty4-3	daily	daily102	4	3
183	daily_daily102_difficulty4-4	daily	daily102	4	4
184	daily_daily102_difficulty4-5	daily	daily102	4	5
185	daily_daily105_difficulty4-1	daily	daily105	4	1
186	daily_daily105_difficulty4-2	daily	daily105	4	2
187	daily_daily105_difficulty4-3	daily	daily105	4	3
188	daily_daily105_difficulty4-4	daily	daily105	4	4
189	daily_daily105_difficulty4-5	daily	daily105	4	5
190	daily_daily107_difficulty4-1	daily	daily107	4	1
191	daily_daily107_difficulty4-2	daily	daily107	4	2
192	daily_daily107_difficulty4-3	daily	daily107	4	3
193	daily_daily107_difficulty4-4	daily	daily107	4	4
194	daily_daily107_difficulty4-5	daily	daily107	4	5
195	daily_daily108_difficulty4-1	daily	daily108	4	1
196	daily_daily108_difficulty4-2	daily	daily108	4	2
197	daily_daily108_difficulty4-3	daily	daily108	4	3
198	daily_daily108_difficulty4-4	daily	daily108	4	4
199	daily_daily108_difficulty4-5	daily	daily108	4	5
200	daily_daily109_difficulty4-1	daily	daily109	4	1
201	daily_daily109_difficulty4-2	daily	daily109	4	2
202	daily_daily109_difficulty4-3	daily	daily109	4	3
203	daily_daily109_difficulty4-4	daily	daily109	4	4
204	daily_daily109_difficulty4-5	daily	daily109	4	5
205	daily_daily10_difficulty5-10	daily	daily10	5	10
206	daily_daily10_difficulty5-6	daily	daily10	5	6
207	daily_daily10_difficulty5-7	daily	daily10	5	7
208	daily_daily10_difficulty5-8	daily	daily10	5	8
209	daily_daily10_difficulty5-9	daily	daily10	5	9
210	daily_daily110_difficulty4-1	daily	daily110	4	1
211	daily_daily110_difficulty4-2	daily	daily110	4	2
212	daily_daily110_difficulty4-3	daily	daily110	4	3
213	daily_daily110_difficulty4-4	daily	daily110	4	4
214	daily_daily110_difficulty4-5	daily	daily110	4	5
215	daily_daily111_difficulty4-1	daily	daily111	4	1
216	daily_daily111_difficulty4-2	daily	daily111	4	2
217	daily_daily111_difficulty4-3	daily	daily111	4	3
218	daily_daily111_difficulty4-4	daily	daily111	4	4
219	daily_daily111_difficulty4-5	daily	daily111	4	5
220	daily_daily112_difficulty4-1	daily	daily112	4	1
221	daily_daily112_difficulty4-2	daily	daily112	4	2
222	daily_daily112_difficulty4-3	daily	daily112	4	3
223	daily_daily112_difficulty4-4	daily	daily112	4	4
224	daily_daily112_difficulty4-5	daily	daily112	4	5
225	daily_daily113_difficulty4-1	daily	daily113	4	1
226	daily_daily113_difficulty4-2	daily	daily113	4	2
227	daily_daily113_difficulty4-3	daily	daily113	4	3
228	daily_daily113_difficulty4-4	daily	daily113	4	4
229	daily_daily113_difficulty4-5	daily	daily113	4	5
230	daily_daily114_difficulty4-1	daily	daily114	4	1
231	daily_daily114_difficulty4-2	daily	daily114	4	2
232	daily_daily114_difficulty4-3	daily	daily114	4	3
233	daily_daily114_difficulty4-4	daily	daily114	4	4
234	daily_daily114_difficulty4-5	daily	daily114	4	5
235	daily_daily11_difficulty5-10	daily	daily11	5	10
236	daily_daily12_difficulty5-10	daily	daily12	5	10
237	daily_daily12_difficulty5-6	daily	daily12	5	6
238	daily_daily12_difficulty5-7	daily	daily12	5	7
239	daily_daily12_difficulty5-8	daily	daily12	5	8
240	daily_daily12_difficulty5-9	daily	daily12	5	9
241	daily_daily13_difficulty1-11	daily	daily13	1	11
242	daily_daily13_difficulty1-12	daily	daily13	1	12
243	daily_daily13_difficulty1-13	daily	daily13	1	13
244	daily_daily13_difficulty1-14	daily	daily13	1	14
245	daily_daily13_difficulty1-15	daily	daily13	1	15
246	daily_daily15_difficulty1-10	daily	daily15	1	10
247	daily_daily15_difficulty1-6	daily	daily15	1	6
248	daily_daily15_difficulty1-7	daily	daily15	1	7
249	daily_daily15_difficulty1-8	daily	daily15	1	8
250	daily_daily15_difficulty1-9	daily	daily15	1	9
251	daily_daily16_difficulty1-10	daily	daily16	1	10
252	daily_daily17_difficulty1-10	daily	daily17	1	10
253	daily_daily17_difficulty1-6	daily	daily17	1	6
254	daily_daily17_difficulty1-7	daily	daily17	1	7
255	daily_daily17_difficulty1-8	daily	daily17	1	8
256	daily_daily17_difficulty1-9	daily	daily17	1	9
257	daily_daily18_difficulty1-10	daily	daily18	1	10
258	daily_daily19_difficulty1-10	daily	daily19	1	10
259	daily_daily19_difficulty1-6	daily	daily19	1	6
260	daily_daily19_difficulty1-7	daily	daily19	1	7
261	daily_daily19_difficulty1-8	daily	daily19	1	8
262	daily_daily19_difficulty1-9	daily	daily19	1	9
263	daily_daily1_difficulty1-15	daily	daily1	1	15
264	daily_daily20_difficulty4-6	daily	daily20	4	6
265	daily_daily20_difficulty4-7	daily	daily20	4	7
266	daily_daily20_difficulty4-8	daily	daily20	4	8
267	daily_daily20_difficulty4-9	daily	daily20	4	9
268	daily_daily20_difficulty5-10	daily	daily20	5	10
269	daily_daily21_difficulty1-8	daily	daily21	1	8
270	daily_daily21_difficulty1-9	daily	daily21	1	9
271	daily_daily21_difficulty2-10	daily	daily21	2	10
272	daily_daily21_difficulty2-6	daily	daily21	2	6
273	daily_daily21_difficulty3-7	daily	daily21	3	7
274	daily_daily22_difficulty4-3	daily	daily22	4	3
275	daily_daily22_difficulty4-4	daily	daily22	4	4
276	daily_daily22_difficulty5-1	daily	daily22	5	1
277	daily_daily22_difficulty5-2	daily	daily22	5	2
278	daily_daily22_difficulty5-5	daily	daily22	5	5
279	daily_daily23_difficulty2-1	daily	daily23	2	1
280	daily_daily23_difficulty2-2	daily	daily23	2	2
281	daily_daily23_difficulty2-3	daily	daily23	2	3
282	daily_daily23_difficulty2-4	daily	daily23	2	4
283	daily_daily23_difficulty3-5	daily	daily23	3	5
284	daily_daily24_difficulty4-1	daily	daily24	4	1
285	daily_daily24_difficulty4-2	daily	daily24	4	2
286	daily_daily24_difficulty4-4	daily	daily24	4	4
287	daily_daily24_difficulty4-5	daily	daily24	4	5
288	daily_daily24_difficulty5-3	daily	daily24	5	3
289	daily_daily25_difficulty1-2	daily	daily25	1	2
290	daily_daily25_difficulty1-5	daily	daily25	1	5
291	daily_daily25_difficulty2-1	daily	daily25	2	1
292	daily_daily25_difficulty2-4	daily	daily25	2	4
293	daily_daily25_difficulty3-3	daily	daily25	3	3
294	daily_daily26_difficulty4-1	daily	daily26	4	1
295	daily_daily26_difficulty4-3	daily	daily26	4	3
296	daily_daily26_difficulty4-4	daily	daily26	4	4
297	daily_daily26_difficulty4-5	daily	daily26	4	5
298	daily_daily26_difficulty5-2	daily	daily26	5	2
299	daily_daily27_difficulty1-1	daily	daily27	1	1
300	daily_daily27_difficulty2-2	daily	daily27	2	2
301	daily_daily27_difficulty2-3	daily	daily27	2	3
302	daily_daily27_difficulty2-4	daily	daily27	2	4
303	daily_daily27_difficulty2-5	daily	daily27	2	5
304	daily_daily28_difficulty4-1	daily	daily28	4	1
305	daily_daily28_difficulty4-2	daily	daily28	4	2
306	daily_daily28_difficulty4-3	daily	daily28	4	3
307	daily_daily28_difficulty5-4	daily	daily28	5	4
308	daily_daily28_difficulty5-5	daily	daily28	5	5
309	daily_daily29_difficulty1-1	daily	daily29	1	1
310	daily_daily29_difficulty1-2	daily	daily29	1	2
311	daily_daily29_difficulty2-3	daily	daily29	2	3
312	daily_daily29_difficulty2-4	daily	daily29	2	4
313	daily_daily29_difficulty2-5	daily	daily29	2	5
314	daily_daily2_difficulty5-9	daily	daily2	5	9
315	daily_daily30_difficulty4-1	daily	daily30	4	1
316	daily_daily30_difficulty4-2	daily	daily30	4	2
317	daily_daily30_difficulty4-5	daily	daily30	4	5
318	daily_daily30_difficulty5-3	daily	daily30	5	3
319	daily_daily30_difficulty5-4	daily	daily30	5	4
320	daily_daily31_difficulty1-2	daily	daily31	1	2
321	daily_daily31_difficulty2-3	daily	daily31	2	3
322	daily_daily31_difficulty2-4	daily	daily31	2	4
323	daily_daily31_difficulty2-5	daily	daily31	2	5
324	daily_daily31_difficulty3-1	daily	daily31	3	1
325	daily_daily32_difficulty4-2	daily	daily32	4	2
326	daily_daily32_difficulty4-3	daily	daily32	4	3
327	daily_daily32_difficulty4-4	daily	daily32	4	4
328	daily_daily32_difficulty5-1	daily	daily32	5	1
329	daily_daily32_difficulty5-5	daily	daily32	5	5
330	daily_daily33_difficulty1-2	daily	daily33	1	2
331	daily_daily33_difficulty2-1	daily	daily33	2	1
332	daily_daily33_difficulty2-3	daily	daily33	2	3
333	daily_daily33_difficulty2-5	daily	daily33	2	5
334	daily_daily33_difficulty3-4	daily	daily33	3	4
335	daily_daily34_difficulty4-1	daily	daily34	4	1
336	daily_daily34_difficulty4-2	daily	daily34	4	2
337	daily_daily34_difficulty4-3	daily	daily34	4	3
338	daily_daily34_difficulty4-4	daily	daily34	4	4
339	daily_daily34_difficulty4-5	daily	daily34	4	5
340	daily_daily35_difficulty1-2	daily	daily35	1	2
341	daily_daily35_difficulty2-1	daily	daily35	2	1
342	daily_daily35_difficulty2-3	daily	daily35	2	3
343	daily_daily35_difficulty2-4	daily	daily35	2	4
344	daily_daily35_difficulty3-5	daily	daily35	3	5
345	daily_daily36_difficulty4-1	daily	daily36	4	1
346	daily_daily36_difficulty4-5	daily	daily36	4	5
347	daily_daily36_difficulty5-2	daily	daily36	5	2
348	daily_daily36_difficulty5-3	daily	daily36	5	3
349	daily_daily36_difficulty5-4	daily	daily36	5	4
350	daily_daily37_difficulty2-1	daily	daily37	2	1
351	daily_daily37_difficulty2-2	daily	daily37	2	2
352	daily_daily37_difficulty2-3	daily	daily37	2	3
353	daily_daily37_difficulty2-4	daily	daily37	2	4
354	daily_daily37_difficulty2-5	daily	daily37	2	5
355	daily_daily38_difficulty4-1	daily	daily38	4	1
356	daily_daily38_difficulty4-5	daily	daily38	4	5
357	daily_daily38_difficulty5-2	daily	daily38	5	2
358	daily_daily38_difficulty5-3	daily	daily38	5	3
359	daily_daily38_difficulty5-4	daily	daily38	5	4
360	daily_daily39_difficulty1-2	daily	daily39	1	2
361	daily_daily39_difficulty2-1	daily	daily39	2	1
362	daily_daily39_difficulty2-3	daily	daily39	2	3
363	daily_daily39_difficulty2-4	daily	daily39	2	4
364	daily_daily39_difficulty2-5	daily	daily39	2	5
365	daily_daily3_difficulty1-13	daily	daily3	1	13
366	daily_daily3_difficulty2-14	daily	daily3	2	14
367	daily_daily3_difficulty2-15	daily	daily3	2	15
368	daily_daily3_difficulty3-11	daily	daily3	3	11
369	daily_daily3_difficulty3-12	daily	daily3	3	12
370	daily_daily40_difficulty4-1	daily	daily40	4	1
371	daily_daily40_difficulty4-2	daily	daily40	4	2
372	daily_daily40_difficulty4-3	daily	daily40	4	3
373	daily_daily40_difficulty4-4	daily	daily40	4	4
374	daily_daily40_difficulty4-5	daily	daily40	4	5
375	daily_daily41_difficulty1-2	daily	daily41	1	2
376	daily_daily41_difficulty1-3	daily	daily41	1	3
377	daily_daily41_difficulty1-4	daily	daily41	1	4
378	daily_daily41_difficulty2-1	daily	daily41	2	1
379	daily_daily41_difficulty3-5	daily	daily41	3	5
380	daily_daily42_difficulty4-2	daily	daily42	4	2
381	daily_daily42_difficulty4-4	daily	daily42	4	4
382	daily_daily42_difficulty5-1	daily	daily42	5	1
383	daily_daily42_difficulty5-3	daily	daily42	5	3
384	daily_daily42_difficulty5-5	daily	daily42	5	5
385	daily_daily43_difficulty1-2	daily	daily43	1	2
386	daily_daily43_difficulty1-3	daily	daily43	1	3
387	daily_daily43_difficulty2-1	daily	daily43	2	1
388	daily_daily43_difficulty2-4	daily	daily43	2	4
389	daily_daily43_difficulty2-5	daily	daily43	2	5
390	daily_daily44_difficulty4-3	daily	daily44	4	3
391	daily_daily44_difficulty4-5	daily	daily44	4	5
392	daily_daily44_difficulty5-1	daily	daily44	5	1
393	daily_daily44_difficulty5-2	daily	daily44	5	2
394	daily_daily44_difficulty5-4	daily	daily44	5	4
395	daily_daily45_difficulty1-1	daily	daily45	1	1
396	daily_daily45_difficulty2-2	daily	daily45	2	2
397	daily_daily45_difficulty2-3	daily	daily45	2	3
398	daily_daily45_difficulty2-4	daily	daily45	2	4
399	daily_daily45_difficulty2-5	daily	daily45	2	5
400	daily_daily46_difficulty4-3	daily	daily46	4	3
401	daily_daily46_difficulty4-4	daily	daily46	4	4
402	daily_daily46_difficulty4-5	daily	daily46	4	5
403	daily_daily46_difficulty5-1	daily	daily46	5	1
404	daily_daily46_difficulty5-2	daily	daily46	5	2
405	daily_daily47_difficulty1-5	daily	daily47	1	5
406	daily_daily48_difficulty4-5	daily	daily48	4	5
407	daily_daily49_difficulty1-1	daily	daily49	1	1
408	daily_daily49_difficulty1-4	daily	daily49	1	4
409	daily_daily49_difficulty2-2	daily	daily49	2	2
410	daily_daily49_difficulty2-3	daily	daily49	2	3
411	daily_daily49_difficulty2-5	daily	daily49	2	5
412	daily_daily4_difficulty5-10	daily	daily4	5	10
413	daily_daily4_difficulty5-6	daily	daily4	5	6
414	daily_daily4_difficulty5-7	daily	daily4	5	7
415	daily_daily4_difficulty5-8	daily	daily4	5	8
416	daily_daily4_difficulty5-9	daily	daily4	5	9
417	daily_daily50_difficulty4-2	daily	daily50	4	2
418	daily_daily50_difficulty4-3	daily	daily50	4	3
419	daily_daily50_difficulty4-4	daily	daily50	4	4
420	daily_daily50_difficulty5-1	daily	daily50	5	1
421	daily_daily50_difficulty5-5	daily	daily50	5	5
422	daily_daily54_difficulty1-1	daily	daily54	1	1
423	daily_daily54_difficulty1-2	daily	daily54	1	2
424	daily_daily54_difficulty1-3	daily	daily54	1	3
425	daily_daily54_difficulty1-4	daily	daily54	1	4
426	daily_daily54_difficulty1-5	daily	daily54	1	5
427	daily_daily59_difficulty1-1	daily	daily59	1	1
428	daily_daily59_difficulty1-2	daily	daily59	1	2
429	daily_daily59_difficulty1-3	daily	daily59	1	3
430	daily_daily59_difficulty1-4	daily	daily59	1	4
431	daily_daily59_difficulty1-5	daily	daily59	1	5
432	daily_daily5_difficulty1-15	daily	daily5	1	15
433	daily_daily60_difficulty1-1	daily	daily60	1	1
434	daily_daily60_difficulty1-2	daily	daily60	1	2
435	daily_daily60_difficulty1-3	daily	daily60	1	3
436	daily_daily60_difficulty1-4	daily	daily60	1	4
437	daily_daily60_difficulty1-5	daily	daily60	1	5
438	daily_daily61_difficulty1-1	daily	daily61	1	1
439	daily_daily61_difficulty1-2	daily	daily61	1	2
440	daily_daily61_difficulty1-3	daily	daily61	1	3
441	daily_daily61_difficulty1-4	daily	daily61	1	4
442	daily_daily61_difficulty1-5	daily	daily61	1	5
443	daily_daily62_difficulty1-5	daily	daily62	1	5
444	daily_daily63_difficulty1-1	daily	daily63	1	1
445	daily_daily63_difficulty1-2	daily	daily63	1	2
446	daily_daily63_difficulty1-3	daily	daily63	1	3
447	daily_daily63_difficulty1-4	daily	daily63	1	4
448	daily_daily63_difficulty1-5	daily	daily63	1	5
449	daily_daily64_difficulty1-1	daily	daily64	1	1
450	daily_daily64_difficulty1-2	daily	daily64	1	2
451	daily_daily64_difficulty1-3	daily	daily64	1	3
452	daily_daily64_difficulty1-4	daily	daily64	1	4
453	daily_daily64_difficulty1-5	daily	daily64	1	5
454	daily_daily65_difficulty1-1	daily	daily65	1	1
455	daily_daily65_difficulty1-2	daily	daily65	1	2
456	daily_daily65_difficulty1-3	daily	daily65	1	3
457	daily_daily65_difficulty1-4	daily	daily65	1	4
458	daily_daily65_difficulty1-5	daily	daily65	1	5
459	daily_daily66_difficulty1-1	daily	daily66	1	1
460	daily_daily66_difficulty1-2	daily	daily66	1	2
461	daily_daily66_difficulty1-3	daily	daily66	1	3
462	daily_daily66_difficulty1-4	daily	daily66	1	4
463	daily_daily66_difficulty1-5	daily	daily66	1	5
464	daily_daily6_difficulty5-10	daily	daily6	5	10
465	daily_daily6_difficulty5-6	daily	daily6	5	6
