Term	TermType	English	Turkish	Dutch	German	French	Italian	Portuguese	Spanish	Russian	Japanese	Korean
BroomStreak	0	Broom Streak	Süpürge Serisi	Bezem Reeks	Besen Serie	Balai Série	Broom Serie	Vassoura Streak	Escombrar Racha	Метла Серия	ブルーム ストリーク	브룸 스트릭
BroomStreakInfoPopupStep1	0	Beat Levels in a Row!	Art Arda Bölümler Geç!	Voltooi niveaus achter elkaar!	Gewinne mehrere Levels hintereinander!	Battez plusieurs niveaux d'affilée !	Supera i Livelli di Fila!	Complete Níveis em Sequência!	¡Supera Niveles Consecutivos!	Пройдите несколько уровней подряд!	連続ステージクリア！	연속으로 레벨을 완료하세요!
BroomStreakInfoPopupStep2	0	Rise Up!	Yüksel!	Opstaan!	Steig auf!	Lève-toi !	Alzati!	Suba!	¡Álzate!	Поднимайся!	立ち上がれ！	일어서라!
BroomStreakInfoPopupStep3	0	Win Amazing Rewards!	Harika Ödüller Kazanın!	Win geweldige beloningen!	Gewinne fantastische Belohnungen!	Gagnez des récompenses incroyables !	Vinci fantastici premi!	Ganhe Recompensas Incríveis!	¡Gana increíbles recompensas!	Выигрывайте удивительные награды!	素晴らしい報酬を手に入れよう！	멋진 보상을 받으세요!
BroomStreakInfoPopupWarn	0	Each fail resets checkpoint progress!	Her başarısızlık kontrol noktası ilerlemesini sıfırlar!	Elke fout reset de voortgang van het controlepunt!	Jeder Fehler setzt den Fortschritt des Kontrollpunkts zurück!	Chaque échec réinitialise la progression du point de contrôle !	Ogni errore azzera i progressi del checkpoint!	Cada falha reinicia o progresso do ponto de verificação!	¡Cada fallo restablece el progreso del punto de control!	Каждая неудача сбрасывает прогресс на контрольной точке!	各失敗によってチェックポイントの進行状況がリセットされます！	실패할 때마다 체크포인트 진행 상황이 초기화됩니다!
BroomStreakInfoPopupWarning	0	Every fail resets all your progress!	Her başarısızlık, tüm ilerlemenizi sıfırlar!	Elke mislukking reset al je voortgang!	Jeder Fehlversuch setzt deinen gesamten Fortschritt zurück!	Chaque échec réinitialise toute votre progression !	Ogni errore azzera tutti i tuoi progressi!	Cada falha redefine todo o seu progresso!	¡Cada fallo reinicia todo tu progreso!	Каждая неудача сбрасывает весь ваш прогресс!	すべての失敗は、すべての進捗がリセットされます！	실패할 때마다 모든 진행 상황이 초기화됩니다!
BroomStreakPopupTooltip	0	You already claimed this chest	Bu sandığı zaten aldınız.	Je hebt deze kist al geclaimd.	Du hast diese Truhe bereits beansprucht.	Vous avez déjà réclamé ce coffre	Hai già reclamato questo forziere.	Você já reivindicou este baú	Ya has reclamado este cofre	Вы уже забрали этот сундук	この宝箱はすでに受け取り済みです。	이미 이 보상을 수령했습니다.
BroomStreakTitle	0	Broom Streak	Süpürge Serisi	Bezem Reeks	Besen Serie	Balai Série	Broom Serie	Vassoura Streak	Escombrar Racha	Метла Серия	ブルーム ストリーク	브룸 스트릭
BroomStreakUpper	0	BROOM STREAK	SÜPÜRGE SERİSİ	BEZEM REEKS	BESEN SERIE	BALAI SÉRIE	BROOM SERIE	VASSOURA STREAK	ESCOMBRAR RACHA	МЕТЛА СЕРИЯ	ブルーム ストリーク	브룸 스트릭
Cancel	0	Cancel	İptal	Annuleren	Abbrechen	Annuler	Annulla	Cancelar	Cancelar	Отмена	キャンセル	취소
Cancelled!	0	Cancelled!	İptal Edildi!	Geannuleerd!	Abgesagt!	Annulé !	Annullato!	Cancelado!	¡Cancelado!	Отменено!	キャンセルされました！	취소됨!
Capacity	0	Capacity	Kapasite	Capaciteit	Kapazität	Capacité	Capacità	Capacidade	Capacidad	Емкость	容量	용량
CardExchange	0	Card Exchange!	Kart Takası!	Kaarten ruilen!	Kartentausch!	Échange de cartes !	Scambio carte!	Troca de cartas!	¡Intercambio de cartas!	Обмен картами!	カード交換！	카드 교환!
CardRequestAvailableFor	0	This request is\navailable for:	Bu istek\nşu kadar süre geçerli:	Dit verzoek is\nbeschikbaar voor:	Diese Anfrage ist\nverfügbar für:	Cette demande est\ndisponible pendant :	Questa richiesta è\ndisponibile per:	Esta solicitação está\ndisponível por:	SUPER DURA	Этот запрос\nдоступен ещё:	このリクエストは\n以下の時間有効です:	이 요청은\n다음 시간 동안 유효합니다:
CardRequested	0	Card Requested!	Kart İstendi!	Kaart Aangevraagd!	Karte Angefordert!	Carte Demandée !	Carta Richiesta!	Carta Solicitada!	¡Carta Solicitada!	Карта Запрошена!	カードリクエスト完了！	카드 요청 완료!
CardSent	0	Card Sent!	Kart Gönderildi!	Kaart Verzonden!	Karte Gesendet!	Carte Envoyée !	Carta Inviata!	Carta Enviada!	¡Carta Enviada!	Карта Отправлена!	カード送信完了！	카드 전송 완료!
CardSentDailyLimit	0	Daily limit: {0}/{1}	Günlük limit: {0}/{1}	Dagelijkse limiet: {0}/{1}	Tageslimit: {0}/{1}	Limite quotidien : {0}/{1}	Limite giornaliera: {0}/{1}	Limite diário: {0}/{1}	Límite diario: {0}/{1}	Дневной лимит: {0}/{1}	1日の上限: {0}/{1}	일일 제한: {0}/{1}
ChampionsLeagueAreYouSureInfo	0	You might lose your <color=#fcd935>Rank</color>!	<color=#fcd935>Rütbe</color> kaybedebilirsin!	Je kunt jouw <color=#fcd935>rang</color> verliezen!	Du könntest deinen <color=#fcd935>Rang</color> verlieren!	Vous risquez de perdre votre <color=#fcd935>Rang</color> !	Potresti perdere il tuo <color=#fcd935>rango</color>!	Você pode perder sua <color=#fcd935>Classificação</color>!	¡Podrías perder tu <color=#fcd935>Rango</color>!	Вы можете потерять свой <color=#fcd935>ранг</color>!	<color=#fcd935>ランク</color>を失うかもしれません！	<color=#fcd935>랭크</color>를 잃을 수도 있습니다!
ChampionsLeagueBronze	0	Bronze	Bronz	Brons	Bronze	Bronze	Bronzo	Bronze	Bronce	Бронза	ブロンズ	브론즈
ChampionsLeagueBronzeLeague	0	Bronze League	Bronz Ligi	Bronze League	Bronze-Liga	Ligue de Bronze	Lega Bronzo	Liga de Bronze	Liga de Bronce	Бронзовая лига	ブロンズリーグ	브론즈 리그
ChampionsLeagueDiamond	0	Diamond	Elmas	Diamond	Diamant	Diamant	Diamante	Diamante	Diamante	Алмаз	ダイヤモンド	다이아몬드
ChampionsLeagueDiamondLeague	0	Diamond League	Elmas Ligi	Diamantencompetitie	Diamantliga	Ligue Diamant	Lega Diamante	Liga Diamante	Liga Diamante	Бриллиантовая лига	ダイヤモンドリーグ	다이아몬드 리그
ChampionsLeagueEmerald	0	Emerald	Zümrüt	Smaragd	Smaragd	Émeraude	Smeraldo	Esmeralda	Esmeralda	Изумруд	エメラルド	에메랄드
ChampionsLeagueEmeraldLeague	0	Emerald League	Zümrüt Ligi	Smaragdenliga	Smaragd-Liga	Ligue Émeraude	Lega Smeraldo	Liga Esmeralda	Liga Esmeralda	Изумрудная Лига	エメラルドリーグ	에메랄드 리그
ChampionsLeagueGold	0	Gold	Altın	Goud	Gold	Or	Oro	Ouro	Oro	Золото	ゴールド	골드
ChampionsLeagueGoldLeague	0	Gold League	Altın Ligi	Gouden Liga	Gold-Liga	Ligue Or	Lega Oro	Liga de Ouro	Liga de Oro	Золотая Лига	ゴールドリーグ	골드 리그
ChampionsLeagueHeader	0	Master League	Usta Ligi	Master League	Meisterliga	Ligue Maîtres	Lega Master	Liga Master	Liga Maestra	Мастер-лига	マスターリーグ	마스터 리그
ChampionsLeagueLeaderboardDemotionInfo	0	Demotion Zone	Düşme Bölgesi	Degradatiezone	Abstiegszone	Zone de rétrogradation	Zona Retrocessione	Zona de Rebaixamento	Zona de Descenso	Зона вылета	降格ゾーン	강등 구역
ChampionsLeagueLeaderboardInfoPopupStep5	0	Be careful! Bottom {0} <color=#FF8383>demotes</color> to the {1}!	Dikkatli ol! Alt sıradaki {0} <color=#FF8383> {1}'e düşer</color>!	Wees voorzichtig! Onderste {0} <color=#FF8383>degradeert</color> naar de {1}!	Sei vorsichtig! Die unteren {0} <color=#FF8383>steigen ab</color> in die {1}!	Faites attention ! Les {0} derniers <color=#FF8383>descendent</color> vers le {1} !	Fai attenzione! Gli ultimi {0} <color=#FF8383>retrocedono</color> al {1}!	Tenha cuidado! Os últimos {0} <color=#FF8383>serão rebaixados</color> para o {1}!	¡Cuidado! Los últimos {0} <color=#FF8383>descienden</color> al {1}!	Будьте осторожны! Последние {0} <color=#FF8383>понижаются</color> до {1}!	注意！下位{0}位は<color=#FF8383>{1}</color>に降格します！	조심하세요! 하위 {0}명이 {1}(으)로 <color=#FF8383>강등</color>됩니다!
ChampionsLeagueLeaderboardPromotionInfo	0	Promotion Zone	Terfi Bölgesi	Promotiezone	Aufstiegszone	Zone de promotion	Zona Promozione	Zona de Promoção	Zona de Promoción	Зона повышения	昇格ゾーン	승격 구역
ChampionsLeaguePoster	0	Master League Area	Master League Alanı	Master League-gebied	Master-Liga-Bereich	Zone de la Master League	Area della Master League	Área da Master League	Área de la Master League	Зона Мастер-лиги	マスタリーグエリア	마스터 리그 구역
ChampionsLeaguePreJoinInfoPopupStep1	0	Beat levels and earn <color=#FFC210>crowns!</color>	Bölümleri geç ve <color=#FFC210>taçlar</color> kazan!	Voltooi levels en verdien <color=#FFC210>kronen!</color>	Schließe Levels ab und verdiene <color=#FFC210>Kronen!</color>	Terminez les niveaux et gagnez des <color=#FFC210>couronnes !</color>	Supera i livelli e guadagna <color=#FFC210>corone!</color>	Complete níveis e ganhe <color=#FFC210>coroas!</color>	¡Supera niveles y gana <color=#FFC210>coronas!</color>	Проходите уровни и зарабатывайте <color=#FFC210>короны!</color>	レベルをクリアして<color=#FFC210>クラウン</color>を獲得しよう！	레벨을 완료하고 <color=#FFC210>왕관</color>을 획득하세요!
ChampionsLeaguePreJoinInfoPopupStep2	0	<color=#FFC210>Compete</color> against other players for 2 weeks!	<color=#FFC210>Diğer oyuncularla</color> 2 hafta boyunca yarış!	<color=#FFC210>Strijd</color> twee weken lang tegen andere spelers!	<color=#FFC210>Treten Sie</color> zwei Wochen lang gegen andere Spieler an!	<color=#FFC210>Compétitionnez</color> contre d'autres joueurs pendant 2 semaines !	<color=#FFC210>Competi</color> contro altri giocatori per 2 settimane!	<color=#FFC210>Compita</color> contra outros jogadores durante 2 semanas!	¡<color=#FFC210>Compite</color> contra otros jugadores durante 2 semanas!	<color=#FFC210>Соревнуйтесь</color> с другими игроками в течение 2 недель!	<color=#FFC210>他のプレイヤーと競い合い</color>、2週間戦いましょう！	<color=#FFC210>두 주</color> 동안 다른 플레이어들과 경쟁하세요!
ChampionsLeaguePreJoinInfoPopupStep3	0	Finish in top ranks to win <color=#FFC210>amazing rewards!</color>	İlk sıralarda bitirerek <color=#FFC210>harika ödüller</color> kazanın!	Eindig in de top om <color=#FFC210>geweldige beloningen</color> te winnen!	Beende das Spiel in den oberen Rängen, um <color=#FFC210>fantastische Belohnungen</color> zu gewinnen!	Terminez dans les premiers rangs pour gagner <color=#FFC210>des récompenses incroyables !</color>	Clasificati nelle prime posizioni per vincere <color=#FFC210>premi incredibili!</color>	Termine nas primeiras posições para ganhar <color=#FFC210>recompensas incríveis!</color>	¡Termina en los primeros puestos para ganar <color=#FFC210>recompensas increíbles!</color>	Завершите игру в верхних рядах, чтобы выиграть <color=#FFC210>потрясающие награды!</color>	トップランクに入り、<color=#FFC210>素晴らしい報酬</color>を勝ち取ろう！	상위 순위에 올라 <color=#FFC210>놀라운 보상</color>을 받으세요!
ChampionsLeaguePreJoinInfoPopupStep4	0	Promote to <color=#FFC210>higher leagues</color> for greater prizes!	Daha büyük ödüller için <color=#FFC210>daha yüksek liglere</color> terfi edin!	Promoveer naar <color=#FFC210>hogere leagues</color> voor grotere prijzen!	Steige in <color=#FFC210>höhere Ligen</color> auf, um größere Preise zu gewinnen!	Faites la promotion vers des <color=#FFC210>ligues supérieures</color> pour des prix plus importants !	Promuovi alle <color=#FFC210>leghe superiori</color> per premi più grandi!	Promoção para <color=#FFC210>ligas superiores</color> para obter prêmios maiores!	¡Ascendiendo a <color=#FFC210>ligas superiores</color> obtendrás premios mayores!	Повышайтесь в <color=#FFC210>более высокие лиги</color> для получения больших наград!	報酬を増やすために<color=#FFC210>高位リーグ</color>に昇格しよう！	더 큰 보상을 위해 <color=#FFC210>상위 리그</color>로 승급하세요!
ChampionsLeaguePreJoinInfoPopupStep5	0	Join early! <color=#FF8383>No entries</color> on the last day of the league.	Erken katılın! Ligin son gününde <color=#FF8383>katılım yok</color>.	Doe vroeg mee! <color=#FF8383>Geen inschrijvingen</color> op de laatste dag van de competitie.	Frühzeitig beitreten! <color=#FF8383>Keine Einträge</color> am letzten Tag der Liga.	Rejoignez dès maintenant ! <color=#FF8383>Aucune entrée</color> le dernier jour de la ligue.	Iscriviti in anticipo! <color=#FF8383>Nessuna iscrizione</color> l'ultimo giorno della lega.	Junte-se antecipadamente! <color=#FF8383>Sem inscrições</color> no último dia da liga.	¡Únete temprano! <color=#FF8383>No hay inscripciones</color> el último día de la liga.	Присоединяйтесь заранее! <color=#FF8383>Запрещены участия</color> в последний день лиги.	早めに参加しよう！リーグの最終日には<color=#FF8383>新規参加はできません</color>。	미리 참여하세요! 리그 마지막 날에는 <color=#FF8383>참여 불가</color>입니다.
ChampionsLeaguePreJoinPopupInfo	0	Beat <color=#FFCF3DFF>{0} levels</color> to join the league!	Lige katılmak için <color=#FFCF3DFF>{0} seviye</color> geç!	Behaal <color=#FFCF3DFF>{0} niveaus</color> om je bij de competitie aan te sluiten!	Besiege <color=#FFCF3DFF>{0} Level</color>, um der Liga beizutreten!	Battez <color=#FFCF3DFF>{0} niveaux</color> pour rejoindre la ligue !	Batti <color=#FFCF3DFF>{0} livelli</color> per entrare nella lega!	Complete <color=#FFCF3DFF>{0} níveis</color> para entrar na liga!	¡Supera <color=#FFCF3DFF>{0} niveles</color> para unirte a la liga!	Победите <color=#FFCF3DFF>{0} уровней</color>, чтобы присоединиться к лиге!	リーグに参加するために、<color=#FFCF3DFF>{0}レベル</color>をクリアしよう！	리그에 참가하려면 <color=#FFCF3DFF>{0} 레벨</color>을 완료하세요!
ChampionsLeagueProfilePopupHeader	0	Master League Stats	Master Lig İstatistikleri	Master League Statistieken	Meisterliga-Statistiken	Statistiques de la Master League	Statistiche della Master League	Estatísticas da Liga Master	Estadísticas de la Liga Maestra	Статистика Мастер Лиги	マスターリーグ統計	마스터 리그 통계
ChampionsLeaguePromotionPopupCurrentLeagueHeader	0	Current League:	Mevcut Lig:	Huidige competitie:	Aktuelle Liga:	Ligue actuelle :	Lega attuale:	Liga Atual:	Liga actual:	Текущая лига:	現在のリーグ:	현재 리그:
ChampionsLeaguePromotionPopupLoseInfo	0	You descended to the {0}! Finish in top {1} to move back up.	{0} seviyesine düştünüz! Tekrar yükselmek için ilk {1} içinde bitirin.	Je bent gezakt naar de {0}! Eindig in de top {1} om weer omhoog te gaan.	Du bist in die {0} abgestiegen! Beende das Turnier unter den besten {1}, um wieder aufzusteigen.	Vous êtes descendu au {0} ! Terminez dans le top {1} pour remonter.	Sei sceso alla {0}! Termina tra i primi {1} per risalire.	Você desceu para {0}! Termine entre os {1} primeiros para subir novamente.	¡Has descendido a la {0}! Termina entre los primeros {1} para volver a subir.	Вы опустились до {0}! Займите место в топ-{1}, чтобы подняться обратно.	{0}に降格しました！再昇格するためには上位{1}以内に入ってください。	{0}로 강등되었습니다! 상위 {1}에 들어야 다시 승급할 수 있습니다.
ChampionsLeaguePromotionPopupNewLeagueHeader	0	New League:	Yeni Lig:	Nieuwe competitie:	Neue Liga:	Nouvelle Ligue :	Nuova lega:	Nova Liga:	Nueva liga:	Новая лига:	新リーグ:	새 리그:
ChampionsLeaguePromotionPopupStayedInfo	0	You stayed in the {0}! Finish in top {1} for promotion.	{0}'de kaldınız! Terfi için ilk {1}'a girin.	Je bent in de {0} gebleven! Eindig in de top {1} voor promotie.	Du bist in der {0} geblieben! Beende unter den Top {1}, um befördert zu werden.	Vous êtes resté dans le {0} ! Terminez dans le top {1} pour être promu.	Sei rimasto nel {0}! Finisci tra i primi {1} per la promozione.	Você permaneceu na {0}! Termine entre os {1} melhores para ser promovido.	¡Te has mantenido en la {0}! Termina entre los primeros {1} para ascender.	Вы остались в {0}! Займите место в топ {1} для повышения.	{0}に残りました！昇格するには上位{1}位に入ってください。	{0}에 머물렀습니다! 승급하려면 상위 {1}위 안에 드세요.
ChampionsLeaguePromotionPopupStayedInfoLast	0	Congratulations! You finished	Tebrikler!	Gefeliciteerd! Je bent geëindigd op	Glückwunsch! Du hast den	Félicitations ! Vous avez terminé	Congratulazioni! Hai terminato al	Parabéns! Você terminou em	¡Felicidades! Terminaste en el puesto	Поздравляем! Вы заняли	おめでとうございます！あなたは#{0}位でフィニッシュし、{1}の地位を維持しました。この調子で頑張ってください！	축하합니다!
ChampionsLeaguePromotionPopupWinInfo	0	You finished {0} and promoted to the {1}!	{0} tamamladın ve {1} terfi ettin!	Je bent geëindigd als {0} en gepromoveerd naar de {1}!	Du hast den {0} abgeschlossen und bist in die {1} aufgestiegen!	Vous avez terminé {0} et vous avez été promu dans le {1} !	Hai terminato {0} e sei stato promosso a {1}!	Você terminou {0} e foi promovido(a) para a {1}!	¡Terminaste {0} y ascendiste a {1}!	Вы заняли {0} и продвигаетесь в {1}!	{0}位で終了し、{1}に昇格しました！	{0}위를 달성하여 {1}로 승격되었습니다!
ChampionsLeagueSilver	0	Silver	Gümüş	Zilver	Silber	Argent	Argento	Prata	Plata	Серебро	シルバー	실버
ChampionsLeagueSilverLeague	0	Silver League	Gümüş Ligi	Zilveren Liga	Silberliga	Ligue Argent	Lega d'Argento	Liga de Prata	Liga de Plata	Серебряная лига	シルバーリーグ	실버 리그
ChangeTeamDescription	0	Are you sure you want\nto change your team?	Takımını değiştirmek\nistediğine emin misin?	Weet je zeker dat je\nvan team wilt wisselen?	Bist du sicher, dass du\ndein Team wechseln möchtest?	Es-tu sûr de vouloir\nchanger d’équipe ?	Sei sicuro di voler\ncambiare squadra?	Você tem certeza que quer\nmudar de equipe?	¿Seguro que quieres\ncambiar de equipo?	Вы уверены, что хотите\nсменить команду?	チームを変更してもよろしいですか？	팀을 변경하시겠습니까?
ChangeTeamTitle	0	Change Team?	Takımı Değiştir?	Team wisselen?	Team wechseln?	Changer d’équipe ?	Cambiare squadra?	Mudar de equipe?	Cambiar de equipo?	Сменить команду?	チームを変更しますか？	팀을 변경하시겠습니까?
Chat	0	Chat	Sohbet	Chat	Chat	Discussion	Chat	Bate-papo	Chat	Чат	チャット	채팅
Choose	0	Choose	Seç	Kies	Wählen	Choisir	Scegliere	Escolher	Elegir	Выбрать	選択	선택하세요
ChooseOneHeader	0	Choose One!	Birini Seç!	Kies er een!	Wähle eine Option!	Choisissez-en un !	Scegli uno!	Escolha Um!	¡Elige uno!	Выберите один!	選んでください！	하나 선택하세요!
ChooseOneSpecialOfferDiscount	0	Buy All <color=#f6e480>{0}% OFF</color>	Hepsini Satın Al <color=#f6e480>%{0} İNDİRİM</color>	Koop Alles <color=#f6e480>{0}% KORTING</color>	Alles kaufen <color=#f6e480>{0}% RABATT</color>	Achetez tout <color=#f6e480>{0}% de réduction</color>	Acquista Tutto <color=#f6e480>{0}% DI SCONTO</color>	Compre Tudo <color=#f6e480>{0}% de DESCONTO</color>	Compra todo <color=#f6e480>{0}% DE DESCUENTO</color>	Купить все со скидкой <color=#f6e480>{0}%</color>	すべて購入 <color=#f6e480>{0}% 割引</color>	모두 구매 <color=#f6e480>{0}% 할인</color>
Claim	0	Claim	Al	Claimen	Einlösen	Réclamer	Riscatta	Reivindicar	Reclamar	Забрать	受け取る	획득하기
Claim!	0	CLAIM!	TALEP ET!	OPHALEN!	EINLÖSEN!	RÉCLAMER !	RITIRA!	REQUISITAR!	¡RECLAMA!	ПОЛУЧИТЬ!	受け取り！	수령하기!
Claimed	0	Claimed	Alındı	Geclaimd	Beansprucht	Réclamé	Riscattato	Reivindicado	Reclamado	Получено	獲得済み	획득함
Closed	0	Closed	Kapalı	Gesloten	Geschlossen	Fermé	Chiuso	Fechado	Cerrado	Закрыто	閉じる	닫힘
Collection	0	Collection	Koleksiyon	Collectie	Sammlung	Collection	Collezione	Coleção	Colección	Коллекция	コレクション	컬렉션
CollectionAlreadyRequested	0	You already requested a card today!	Bugün zaten kart istedin!	Je hebt vandaag al een kaart aangevraagd!	Du hast heute bereits eine Karte angefordert!	Tu as déjà demandé une carte aujourd'hui !	Hai già richiesto una carta oggi!	Você já solicitou uma carta hoje!	¡Ya solicitaste una carta hoy!	Вы уже запросили карту сегодня!	今日は既にカードをリクエストしました！	오늘 이미 카드를 요청했습니다!
CollectionCardReceived	0	Card Received!	Kart Alındı!	Kaart Ontvangen!	Karte erhalten!	Carte reçue !	Carta ricevuta!	Carta Recebida!	¡Tarjeta Recibida!	Карта получена!	カードを受け取りました！	카드 획득!
CollectionCollectCards	0	Collect cards and complete\nsets in the collection	Kartları topla ve koleksiyondaki \nsetleri tamamla	Verzamel kaarten en voltooi \nsets in de collectie	Sammle Karten und vervollständige \nSets in der Sammlung	Collectionne des cartes et complète \ndes sets dans la collection	Colleziona carte e completa \nset nella collezione	Colete cartas e complete \nconjuntos na coleção	Colecciona cartas y completa \nsets en la colección	Собирайте карты и завершайте \nнаборы в коллекции	カードを集めてコレクションの\nセットを完成させよう	카드를 수집하고 컬렉션의 \n세트를 완성하세요
CollectionCollectCardsToComplete	0	Collect all cards to complete collection!	Koleksiyonu tamamlamak için tüm kartları topla!	Verzamel alle kaarten om de collectie te voltooien!	Sammle alle Karten, um die Sammlung zu vervollständigen!	Collectionnez toutes les cartes pour compléter la collection !	Colleziona tutte le carte per completare la collezione!	Colete todas as cartas para completar a coleção!	¡Colecciona todas las cartas para completar la colección!	Соберите все карты, чтобы завершить коллекцию!	全てのカードを集めてコレクションを完成させよう！	모든 카드를 수집하여 컬렉션을 완성하세요!
